J034343.24+242228.5  55.9301864  24.3745808   18.0  -43.9 1.0 0.9  8.576 0.019  8.291 0.015  9.122  0.011  9.778  0.069  8.477  0.058  7.692 0.039  7.610 0.055  7.561 0.018 AAA  7.531 0.026  7.551 0.021  7.139 0.017  5.751 0.044 0.9982   7000  125  6.392e+00  1.1e+00
J034347.48+231242.4  55.9478490  23.2117892   20.8  -40.5 1.5 1.5 11.707 0.085 10.568 0.052 10.294  0.004 10.959  0.041 10.033  0.027  9.034 0.024  8.682 0.026  8.552 0.018 AAA  8.491 0.023  8.540 0.021  8.491 0.024  7.744 0.155 0.9753   5250  125  1.135e+00  1.9e-01
J034348.34+250015.7  55.9514369  25.0043711   22.0  -45.7 2.0 2.1 12.011 0.131 11.802 0.185 11.427  0.100 12.028  0.015 11.069  0.054  9.958 0.026  9.496 0.032  9.374 0.018 AAA  9.274 0.024  9.301 0.022  9.300 0.038    ---   --- 0.9965   5000  125  4.866e-01  9.1e-02
J034348.41+251124.3  55.9516900  25.1900697   19.8  -45.0 1.8 1.9 11.966 0.135 10.875 0.078 10.570  0.100 11.303  0.014 10.360  0.050  9.326 0.021  8.962 0.030  8.827 0.018 AAA  8.752 0.023  8.807 0.019  8.758 0.031    ---   --- 0.9320   5250  125  8.737e-01  1.6e-01
J034350.71+241450.9  55.9612768  24.2474755   22.0  -47.4 1.8 1.9 11.709 0.105 10.983 0.092 11.115  0.008 11.685  0.049 10.874  0.046  9.833 0.024  9.429 0.036  9.344 0.018 AAA  9.274 0.024  9.292 0.020  9.263 0.041    ---   --- 0.9938   5250  125  6.111e-01  1.1e-01
J034358.80+235257.9  55.9950141  23.8827383   20.6  -44.4 1.2 1.2 10.378 0.040  9.763 0.034  9.499  0.034 10.195  0.148  9.419  0.042  8.600 0.035  8.420 0.042  8.308 0.024 AAA  8.240 0.023  8.285 0.020  8.251 0.028  7.222 0.120 0.9927   6000  125  2.034e+00  3.6e-01
J034400.27+243325.2  56.0011171  24.5569945   20.1  -45.9 1.2 1.1  8.321 0.018  8.086 0.014  9.051  0.000    ---    ---  8.388  0.091  7.633 0.037  7.618 0.044  7.583 0.018 AAA  7.529 0.025  7.550 0.020  7.324 0.017  6.532 0.080 0.9993   7500  125  7.140e+00  1.2e+00
J034400.59+233238.2  56.0024469  23.5439454   17.2  -45.0 2.2 2.2 12.223 0.177 11.088 0.089 10.835  0.033 11.390  0.049 10.558  0.023  9.650 0.019  9.274 0.017  9.199 0.020 AAA  9.093 0.023  9.133 0.020  8.996 0.030  8.131 0.250 0.7169   5250  125  6.785e-01  1.2e-01
J034403.55+243015.2  56.0148032  24.5042323   24.4  -45.0 1.9 2.1 11.734 0.106 10.999 0.093 10.623  0.011 11.131  0.034 10.394  0.043  9.405 0.023  9.118 0.029  8.953 0.020 AAA  8.863 0.024  8.882 0.021  8.804 0.030    ---   --- 0.9868   5250  125  8.317e-01  1.5e-01
J034404.24+245923.4  56.0176546  24.9898217   16.6  -47.1 1.8 1.8 11.562 0.080 10.833 0.071 10.588  0.100 11.081  0.032 10.371  0.048  9.499 0.027  9.168 0.047  9.061 0.020 AAA  8.994 0.024  9.026 0.020  8.938 0.032  8.734 0.404 0.9932   5500  125  8.430e-01  1.5e-01
J034411.20+232245.6  56.0466747  23.3793411   24.5  -45.1 1.6 1.7 12.019 0.124 11.641 0.132 11.235  0.022 11.871  0.067 10.955  0.041  9.956 0.020  9.512 0.023  9.408 0.022 AAA  9.308 0.024  9.336 0.020  9.173 0.038  7.873 0.190 0.9887   5000  125  5.036e-01  9.2e-02
J034413.92+244645.8  56.0579937  24.7793870   21.2  -46.0 1.8 1.8 11.748 0.112 10.918 0.092 10.583  0.100 11.136  0.027 10.416  0.044  9.530 0.024  9.172 0.032  9.062 0.022 AAA  9.028 0.023  9.084 0.021  9.023 0.035  7.581 0.179 0.9966   5500  125  8.009e-01  1.4e-01
J034415.36+261952.4  56.0640095  26.3312261   20.0  -42.7 1.9 2.0 11.792 0.107 10.942 0.096 10.865  0.017 11.357  0.069 10.619  0.026  9.705 0.024  9.310 0.028  9.269 0.022 AAA  9.227 0.023  9.272 0.020  9.325 0.040    ---   --- 0.9744   5500  125  6.852e-01  1.2e-01
J034420.09+244746.3  56.0836926  24.7961872   18.4  -44.3 1.6 1.7 11.174 0.071 10.495 0.058 10.374  0.100 11.067  0.023 10.337  0.035  9.339 0.023  8.996 0.031  8.900 0.020 AAA  8.872 0.023  8.901 0.021  8.858 0.035  8.400 0.330 0.9971   5500  125  9.933e-01  1.7e-01
J034423.55+240757.6  56.0981057  24.1326619   21.1  -43.6 1.1 1.1  9.650 0.028  9.164 0.023  9.368  0.131  9.960  0.168  8.921  0.035  8.083 0.027  7.811 0.031  7.769 0.031 AAA  7.682 0.025  7.695 0.022  7.460 0.025  6.123 0.085 0.9975   6000  125  3.600e+00  5.9e-01
